hh_id,age,gender,employment,education,student,num_people,num_surveyable,num_participants,num_adults,num_kids,num_workers,num_students,num_vehicles,num_bicycle,income_detailed,residence_type,residence_rent_own,home_tract_2020,num_jobs,job_type,occupation,industry,work_flex,commute_freq,telework_freq,work_tract_2020,transit_pass_0,transit_pass_1,transit_pass_2,transit_pass_3,transit_pass_4,transit_pass_5,transit_fare_program_1,transit_fare_program_2,transit_fare_program_3,transit_fare_program_4,transit_fare_program_5,transit_fare_program_6,transit_fare_program_7,transit_fare_program_8,limits,can_drive,disability,transit_freq,person_weight
24004548,8,2,1,6,2,4,4,2,2,2,1,0,2,2,999,1,2,17031804810,1,1,1,20,1,2,996,17031804611,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,208.27025
24004679,8,1,3,6,2,3,3,1,1,2,1,0,1,3,5,2,1,17031804807,1,3,18,5,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,185.22047
24004843,8,1,1,7,2,1,1,1,1,0,1,0,1,1,999,2,999,17031824106,1,2,22,8,1,2,996,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,865.13184
24004870,9,2,1,3,2,2,2,2,2,0,2,0,2,1,8,1,2,17031824004,1,1,23,17,0,3,996,17063000102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,1184.2181
24004870,9,1,1,3,2,2,2,2,2,0,2,0,2,1,8,1,2,17031824004,1,1,23,17,0,2,996,17031824004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,1184.2181
24005217,8,1,1,4,2,2,2,2,2,0,1,0,3,7,10,1,1,17031824123,1,1,12,8,0,2,996,17031823903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,8,1513.3822
24005232,7,1,1,7,2,4,4,2,2,2,2,0,3,4,11,1,2,17031802802,1,7,16,14,1,4,5,17031839100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,938.62726
24005232,7,2,1,7,2,4,4,2,2,2,2,0,3,4,11,1,2,17031802802,1,1,8,6,0,2,996,17043840705,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,938.62726
24005747,8,2,1,6,2,4,4,2,2,2,3,1,3,5,10,1,2,17031804608,1,7,1,13,1,3,5,17043846413,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,434.7165
24005747,8,1,1,6,2,4,4,2,2,2,3,1,3,5,10,1,2,17031804608,1,7,2,20,1,3,6,17043841102,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,434.7165
24005780,7,1,1,3,2,3,3,3,3,0,3,0,3,2,999,1,3,17031811402,1,1,18,11,1,2,996,17031802505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,996,1,0,8,332.74557
24005780,5,1,2,7,2,3,3,3,3,0,3,0,3,2,999,1,3,17031811402,2,1,11,8,0,1,995,17031811302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,332.74557
24005780,9,1,1,2,2,3,3,3,3,0,3,0,3,2,999,1,3,17031811402,1,7,18,7,1,4,5,17031770700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,332.74557
24005988,8,999,1,6,2,3,3,2,2,1,2,0,2,3,999,1,2,17031801701,1,3,16,7,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,1438.5837
24005988,7,999,3,7,2,3,3,2,2,1,2,0,2,3,999,1,2,17031801701,1,7,11,8,1,4,5,17031812400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,1438.5837
24006132,7,1,2,6,2,3,3,2,2,1,2,1,2,1,9,1,2,17031770201,1,1,11,8,0,2,996,17031770202,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,461.5093
24006132,7,2,1,7,3,3,3,2,2,1,2,1,2,1,9,1,2,17031770201,1,7,4,7,1,5,4,17097863902,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,461.5093
24007021,8,1,1,6,2,1,1,1,1,0,1,0,1,2,7,2,2,17031803605,1,7,18,13,1,5,4,17031801601,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,201.23288
24007193,8,1,7,3,2,2,2,2,2,0,1,0,1,4,8,2,2,17031837000,1,1,5,20,1,5,996,17031812802,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2026.1124
24007193,9,2,1,6,2,2,2,2,2,0,1,0,1,4,8,2,2,17031837000,1,7,23,14,0,5,4,17031839100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2026.1124
24007326,7,2,1,6,2,1,1,1,1,0,1,0,0,0,5,3,3,17031031200,1,7,2,4,1,4,2,17031810200,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,36.3627
24007571,9,1,2,3,2,1,1,1,1,0,1,0,0,0,1,1,3,17031843900,1,1,12,8,0,5,996,17031330200,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,407.43866
24007607,9,1,2,3,2,1,1,1,1,0,1,0,1,0,4,3,3,17031252000,1,2,24,20,0,2,996,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,996,1314.7797
24007659,6,1,1,7,0,1,1,1,1,0,1,1,1,0,8,3,2,17031381900,1,7,24,13,1,6,3,17031381900,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,7,160.32338
24007885,9,1,3,7,2,1,1,1,1,0,1,0,0,0,7,3,3,17031010702,2,3,14,20,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,178.11996
24008324,6,1,1,6,2,2,2,2,2,0,2,0,1,1,11,1,2,17031200401,1,7,24,13,1,4,5,17031833000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2571.0864
24008324,6,2,1,7,2,2,2,2,2,0,2,0,1,1,11,1,2,17031200401,1,7,1,5,0,5,4,17031839100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2571.0864
24008616,10,1,1,7,2,2,2,2,2,0,2,0,2,0,8,3,1,17031808100,1,1,12,8,1,2,9,17031100300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1054.6461
24008616,10,2,2,7,2,2,2,2,2,0,2,0,2,0,8,3,1,17031808100,1,1,14,13,1,5,5,17031160400,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,995,8,1054.6461
24008902,8,1,1,7,2,1,1,1,1,0,1,0,0,1,11,2,2,17031836000,1,3,22,13,1,995,2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4348.779
24009282,9,1,1,999,2,1,1,1,1,0,1,0,0,0,999,3,999,17097861007,1,1,12,8,0,1,995,17043840901,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6683.9277
24009313,6,1,1,3,0,4,4,4,4,0,1,1,2,1,5,2,3,17031835500,1,1,12,8,1,996,996,17031835500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,995,996,45.77468
24009802,7,2,1,7,2,4,4,2,2,2,2,0,2,1,10,1,2,17031430300,1,7,5,14,0,6,3,17031430300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4476.714
